ID,IMDB_ID,Budget,Production Companies,Production Countries,Revenue,Runtime,Director
999815,,0,['DOKfilm Fernsehproduktion'],['Germany'],0,0,
999818,,0,[],[],0,0,
999827,,0,['ANT Productions'],['India'],0,21,Sudipto Nag
999834,,0,[],[],0,0,Telson Reis Júnior
999835,,0,[],['Poland'],0,21,Zofia Kowalewska
999836,,0,[],[],0,0,Amanda Rezer
999838,,0,[],[],0,30,Adam Porębowicz
999854,,0,"['Nickelodeon Animation Studio', 'John Cohen Productions']",['United States of America'],0,3,
999856,,0,['Locally Grown Films'],['Germany'],0,10,Nadja Marchesi
999857,,0,[],[],0,6,Nathan Zhe
999868,tt21962102,0,['Filmesimples'],['Brazil'],0,15,Íris Alves Lacerda
999874,tt9150828,0,"['Gray Area Multimedia', 'Children Of Celluloid']",['United States of America'],0,90,Ian Tripp
